상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시군구명,법정동명,경도,위도
5바,,음식,유흥주점,호프/맥주,세종특별자치시,나성동,127.2578501,36.48964436
동양농기연기대전대리,,소매,철물/난방/건설자재소매,건축백화점,세종특별자치시,금남면,127.2772239,36.46100522
코리아부동산,,부동산,부동산중개,부동산중개,세종특별자치시,한솔동,127.2590393,36.47727798
수목길,,음식,한식,한식/백반/한정식,세종특별자치시,연서면,127.2779336,36.55643062
김형제고기의철학새롬점,,생활서비스,개인서비스,운명감정작명,세종특별자치시,새롬동,127.2518434,36.48404632
세븐일레븐세종침산원룸점,세종침산원룸점,소매,종합소매점,편의점,세종특별자치시,조치원읍,127.2896189,36.60026355
한양공업사,,생활서비스,자동차/이륜차,자동차정비/카센타,세종특별자치시,부강면,127.3579431,36.53289786
삼이식당,,음식,한식,한식/백반/한정식,세종특별자치시,연서면,127.2834592,36.56289861
신안부동산공인중개사사무소,,부동산,부동산중개,부동산중개,세종특별자치시,금남면,127.2818848,36.46735095
씨엔지유기농,,소매,건강/미용식품,건강식품판매,세종특별자치시,연동면,127.3560218,36.55181309
홍천식당,,음식,한식,한식/백반/한정식,세종특별자치시,조치원읍,127.3020022,36.60283306
윤미네식당,,음식,한식,한식/백반/한정식,세종특별자치시,조치원읍,127.2991446,36.59994144
대륜부동산,,부동산,부동산중개,부동산중개,세종특별자치시,한솔동,127.2606235,36.48084763
남자의자격,,음식,유흥주점,호프/맥주,세종특별자치시,조치원읍,127.295743,36.59174744
어머님칼국수,,음식,한식,한식/백반/한정식,세종특별자치시,조치원읍,127.2891501,36.60628081
충청진생가,,소매,음/식료품소매,청과물소매,세종특별자치시,금남면,127.2976355,36.47277093
수왕쇼파,,소매,가구소매,일반가구소매,세종특별자치시,연동면,127.3106256,36.57707262
꽃단지,,소매,선물/팬시/기념품,꽃집/꽃배달,세종특별자치시,부강면,127.3678234,36.52912946
삼거리카크리닉,,생활서비스,자동차/이륜차,자동차정비/카센타,세종특별자치시,금남면,127.2814573,36.46772689
모애선교아가방,,소매,유아용품,유아용품판매,세종특별자치시,조치원읍,127.2941772,36.60292216
양촌식당,,음식,한식,한식/백반/한정식,세종특별자치시,전동면,127.2696413,36.65640478
피자명,,음식,패스트푸드,피자전문,세종특별자치시,조치원읍,127.2907395,36.60604696
시그마마트,,소매,종합소매점,수퍼마켓,세종특별자치시,조치원읍,127.2878665,36.62553187
수뢰건강원,,소매,건강/미용식품,건강원,세종특별자치시,연서면,127.2831773,36.5631853
그린열쇠,,소매,철물/난방/건설자재소매,열쇠판매/수리,세종특별자치시,조치원읍,127.2883081,36.61398109
코러스단란주점,,음식,유흥주점,룸살롱/단란주점,세종특별자치시,전동면,127.2683623,36.65563992
고운향기음악학원,,학문/교육,학원-음악미술무용,피아노/바이올린/기타,세종특별자치시,고운동,127.228068,36.51481567
LG화장품,홈플러스조치원점,소매,화장품소매,화장품판매점,세종특별자치시,조치원읍,127.2977252,36.58636991
죽림건강원,,소매,건강/미용식품,건강원,세종특별자치시,조치원읍,127.2967458,36.59085215
언더그라운드레코드,,학문/교육,학원-음악미술무용,피아노/바이올린/기타,세종특별자치시,조치원읍,127.2996867,36.60427042
대영오토바이,,생활서비스,자동차/이륜차,오토바이판매/수리,세종특별자치시,조치원읍,127.2985869,36.59735169
조일식품,,소매,음/식료품소매,식료품점,세종특별자치시,조치원읍,127.2988165,36.59544249
금산인삼추어탕,,음식,한식,추어탕전문,세종특별자치시,전동면,127.2198154,36.66490251
건국세차장,,생활서비스,자동차/이륜차,세차장,세종특별자치시,조치원읍,127.2972905,36.6084289
삼일세탁소,,생활서비스,세탁/가사서비스,세탁소/빨래방,세종특별자치시,조치원읍,127.2971306,36.59525231
재경DND영어왕수학학원,,학문/교육,학원-보습교습입시,학원-입시,세종특별자치시,금남면,127.2797133,36.46326433
경인랜트카,조치원영업소,생활서비스,물품기기대여,렌트카,세종특별자치시,조치원읍,127.2978081,36.59202097
곤지암소머리국밥,,음식,한식,해장국/감자탕,세종특별자치시,한솔동,127.2521649,36.48078591
개별용달,,생활서비스,운송/배달/택배,종합이삿짐대행,세종특별자치시,조치원읍,127.2892701,36.63583198
금천정미소,,생활서비스,세탁/가사서비스,방앗간/정미소,세종특별자치시,금남면,127.3170759,36.4407369
백마미용실,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,조치원읍,127.2975671,36.59764309
금남카센터,,생활서비스,자동차/이륜차,자동차정비/카센타,세종특별자치시,금남면,127.3282581,36.48017506
대성학원,,학문/교육,학원-보습교습입시,학원-입시,세종특별자치시,부강면,127.3634687,36.53180996
만도카정비공업사,,생활서비스,자동차/이륜차,자동차정비/카센타,세종특별자치시,조치원읍,127.2962919,36.61129785
시장감자탕,,음식,한식,해장국/감자탕,세종특별자치시,조치원읍,127.300107,36.60104657
레츠컴퓨터,,소매,사무/문구/컴퓨터,컴퓨터/사무용기기종합,세종특별자치시,조치원읍,127.2910008,36.61169005
우주식당,,음식,한식,한식/백반/한정식,세종특별자치시,조치원읍,127.2957864,36.59681248
그린종합철물,,소매,철물/난방/건설자재소매,철물/건설자재소매,세종특별자치시,장군면,127.2159609,36.49313455
베로커피숍,,음식,커피점/카페,커피전문점/카페/다방,세종특별자치시,연서면,127.2902602,36.57294273
너랑나랑분식,,음식,분식,라면김밥분식,세종특별자치시,금남면,127.2800689,36.46341968
세종시자동차전문정비사업조합,,생활서비스,자동차/이륜차,자동차정비/카센타,세종특별자치시,조치원읍,127.3016538,36.59436868
가야미용실,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,전의면,127.2046653,36.6794016
대원부동산중개법인,,부동산,부동산중개,부동산중개,세종특별자치시,어진동,127.262186,36.49496142
원협아름다운정원,,소매,선물/팬시/기념품,꽃집/꽃배달,세종특별자치시,조치원읍,127.2944583,36.59538072
현대블루핸즈현대세종서비스,현대세종서비스,생활서비스,자동차/이륜차,자동차정비/카센타,세종특별자치시,연서면,127.2896381,36.57377715
해피스넥,,소매,종합소매점,수퍼마켓,세종특별자치시,부강면,127.3971083,36.52699197
금지미용실,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,전의면,127.1980656,36.68033963
프라임부동산,,부동산,부동산중개,부동산중개,세종특별자치시,한솔동,127.2571609,36.48234018
소문난조개구이,,음식,일식/수산물,조개구이전문,세종특별자치시,조치원읍,127.3012337,36.60253116
좋은날호프,,음식,유흥주점,호프/맥주,세종특별자치시,전동면,127.266037,36.65433691
유흥근타이어타운,,소매,자동차/자동차용품,타이어판매,세종특별자치시,연서면,127.2928276,36.57811291
세종반점,,음식,중식,중국음식/중국집,세종특별자치시,연서면,127.2601614,36.55873692
우리식당,,음식,한식,한식/백반/한정식,세종특별자치시,금남면,127.2887008,36.47361924
가마명가,,음식,한식,기타고기요리,세종특별자치시,장군면,127.2204148,36.49976966
레몬트리,,음식,유흥주점,호프/맥주,세종특별자치시,조치원읍,127.2953423,36.59772008
제일세탁소,,생활서비스,세탁/가사서비스,세탁소/빨래방,세종특별자치시,금남면,127.2811727,36.46471509
전동남원추어탕,,음식,한식,추어탕전문,세종특별자치시,전동면,127.2712778,36.65010642
공원당구장,,관광/여가/오락,PC/오락/당구/볼링등,당구장,세종특별자치시,조치원읍,127.2910458,36.59211612
조치원왕수학교실학원,,학문/교육,학원-보습교습입시,학원-입시,세종특별자치시,조치원읍,127.2941772,36.60292216
대상웰라이프신조치원지사,조치원지사,소매,건강/미용식품,건강식품판매,세종특별자치시,조치원읍,127.3015601,36.60103707
보화수산,,소매,음/식료품소매,어물상,세종특별자치시,조치원읍,127.3003408,36.59991242
샤인창호대리점,,생활서비스,주택수리,유리창호,세종특별자치시,연서면,127.2807481,36.57938345
서우전기,,소매,가정/주방/인테리어,조명기구/전기용품,세종특별자치시,부강면,127.3667135,36.5296643
꼬꼬닭집,,소매,음/식료품소매,닭집,세종특별자치시,연서면,127.2829937,36.5637069
동양철물점,,소매,철물/난방/건설자재소매,철물/건설자재소매,세종특별자치시,조치원읍,127.3014556,36.60023438
고향산천부동산중개사무소,,부동산,부동산중개,부동산중개,세종특별자치시,연서면,127.282472,36.56213566
"김태신,충만고물상사",,소매,중고품소매/교환,재활용/고물수집,세종특별자치시,전의면,127.1744824,36.63089235
건영자원,,소매,중고품소매/교환,재활용/고물수집,세종특별자치시,연기면,127.2326505,36.54257558
유명카센터,,생활서비스,자동차/이륜차,자동차정비/카센타,세종특별자치시,전의면,127.2093196,36.67831511
굽네막창&곱창,,음식,한식,곱창/양구이전문,세종특별자치시,연서면,127.2476311,36.55836112
김밥천국,영상대점,음식,분식,라면김밥분식,세종특별자치시,장군면,127.2097434,36.462407
시실리7080라이브,,음식,유흥주점,호프/맥주,세종특별자치시,조치원읍,127.3000508,36.60231694
하얀세탁소,,생활서비스,세탁/가사서비스,세탁소/빨래방,세종특별자치시,전의면,127.2063975,36.6796024
노골대식당,,음식,한식,한식/백반/한정식,세종특별자치시,소정면,127.1595428,36.72563779
형제고물상,,소매,중고품소매/교환,재활용/고물수집,세종특별자치시,금남면,127.2817237,36.46908935
서면국촌1리구판장,,소매,종합소매점,구판장/직판장,세종특별자치시,연서면,127.2719001,36.57204796
파랑새분식,,음식,한식,한식/백반/한정식,세종특별자치시,조치원읍,127.2900573,36.60852121
동면어린이집,,학문/교육,유아교육,어린이집,세종특별자치시,연동면,127.3288794,36.55687244
현대자동차AS서창점,서창점,생활서비스,자동차/이륜차,자동차정비/카센타,세종특별자치시,조치원읍,127.2963169,36.60977496
상희공인중개사,,부동산,부동산중개,부동산중개,세종특별자치시,조치원읍,127.2940818,36.60481412
KT대전네트워크서비스센터,,생활서비스,개인/가정용품수리,가전제품수리,세종특별자치시,연서면,127.2841208,36.59410245
돼지삼형제분식,,음식,분식,라면김밥분식,세종특별자치시,부강면,127.3667379,36.52804223
화월식당,,음식,한식,한식/백반/한정식,세종특별자치시,조치원읍,127.3000964,36.59727045
성불원,,생활서비스,개인서비스,운명감정작명,세종특별자치시,전동면,127.3003245,36.68085819
혜선꽃집,,소매,선물/팬시/기념품,꽃집/꽃배달,세종특별자치시,조치원읍,127.2939168,36.60941831
오일뱅크보람셀프,보람셀프,생활서비스,주유소/충전소,주유소,세종특별자치시,대평동,127.2829916,36.46953857
한상공구,,소매,가정/주방/인테리어,유리/페인트/철물건축자재,세종특별자치시,금남면,127.2816735,36.46848522
서울축협연기하치장,,소매,음/식료품소매,육류소매,세종특별자치시,연서면,127.218837,36.59672952
새서울부동산,,부동산,부동산중개,부동산중개,세종특별자치시,조치원읍,127.2964665,36.5957711
티스테이션,조치원점,소매,자동차/자동차용품,타이어판매,세종특별자치시,연서면,127.2928276,36.57811291
경성칼국수,모닝시티점,음식,분식,국수/만두/칼국수,세종특별자치시,어진동,127.2585282,36.49695748
능률영어빨간펜수학도담점,,학문/교육,학원-어학,학원-어린이영어,세종특별자치시,도담동,127.2627108,36.51260152
일미식당,,음식,한식,한식/백반/한정식,세종특별자치시,소정면,127.1647707,36.72875662
가족식당,,음식,한식,갈비/삼겹살,세종특별자치시,금남면,127.2963802,36.47584573
OK부동산,,부동산,부동산중개,부동산중개,세종특별자치시,한솔동,127.2606235,36.48084763
우리식당,,음식,한식,한식/백반/한정식,세종특별자치시,연서면,127.2831225,36.56306782
백합혼수방,,소매,의복의류,한복/갈옷/민속옷,세종특별자치시,조치원읍,127.2993773,36.60016811
부강파랑새마트,,소매,종합소매점,수퍼마켓,세종특별자치시,부강면,127.3660993,36.5283002
헤어이미지,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,조치원읍,127.3017611,36.59982162
남원추어탕,,음식,한식,갈비/삼겹살,세종특별자치시,금남면,127.2812538,36.46680642
놀자당구장,,관광/여가/오락,PC/오락/당구/볼링등,당구장,세종특별자치시,금남면,127.2811727,36.46471509
원조닭발,,음식,닭/오리요리,닭내장/닭발요리,세종특별자치시,조치원읍,127.2994055,36.59580643
연세꽃화원,,소매,선물/팬시/기념품,꽃집/꽃배달,세종특별자치시,조치원읍,127.2998744,36.59586326
만인공인중개사,,부동산,부동산중개,부동산중개,세종특별자치시,조치원읍,127.2908988,36.59108787
디엘케이,,소매,음/식료품소매,냉동식품판매,세종특별자치시,연서면,127.265668,36.55290408
연기군산림조합,,소매,음/식료품소매,식료품점,세종특별자치시,조치원읍,127.2902473,36.59754565
세종시공인중개사사무소,,부동산,부동산중개,부동산중개,세종특별자치시,조치원읍,127.295727,36.59351371
가마솥식당,,음식,한식,한식/백반/한정식,세종특별자치시,조치원읍,127.2971306,36.59525231
한티공인중개사사무소,,부동산,부동산중개,부동산중개,세종특별자치시,부강면,127.3638695,36.5319653
서울건강원,,소매,종합소매점,시장/종합상가,세종특별자치시,금남면,127.2817969,36.46841387
예양편의점,,소매,종합소매점,편의점,세종특별자치시,연동면,127.322515,36.57316644
대성모터,,소매,종합소매점,시장/종합상가,세종특별자치시,부강면,127.3672188,36.53069438
세종연수원,,음식,한식,한식/백반/한정식,세종특별자치시,연서면,127.2498407,36.55859133
금빛주유소,,생활서비스,주유소/충전소,주유소,세종특별자치시,조치원읍,127.2972905,36.6084289
대호장여관,,숙박,모텔/여관/여인숙,모텔/여관/여인숙,세종특별자치시,조치원읍,127.2952662,36.59748531
영농자재종합판매장,,소매,기타판매업,농자재판매,세종특별자치시,전의면,127.2063272,36.6788179
이수진에스테틱,,생활서비스,이/미용/건강,비만/피부관리,세종특별자치시,한솔동,127.251953,36.47613428
누리산업안전용품,,소매,기타판매업,안전보호구판매,세종특별자치시,금남면,127.2765589,36.46052354
동진들,,소매,음/식료품소매,청과물소매,세종특별자치시,연동면,127.325474,36.55153606
세종특별자치시향교,,생활서비스,장례/묘지,묘지관리-종합,세종특별자치시,연기면,127.2812841,36.54323908
팔도강산노래클럽,,관광/여가/오락,무도/유흥/가무,노래방,세종특별자치시,금남면,127.2811841,36.46589576
학교,,음식,유흥주점,룸살롱/단란주점,세종특별자치시,조치원읍,127.2992702,36.59964478
욱일당구클럽,,관광/여가/오락,PC/오락/당구/볼링등,당구장,세종특별자치시,조치원읍,127.292391,36.6039119
청실홍실,,소매,의복의류,일반의류,세종특별자치시,금남면,127.2818848,36.46735095
아로마벨,,생활서비스,이/미용/건강,비만/피부관리,세종특별자치시,조치원읍,127.2974675,36.59014445
자금성,,음식,중식,중국음식/중국집,세종특별자치시,조치원읍,127.2932537,36.60491736
리치랜드,,소매,가정/주방/인테리어,침구/수예품,세종특별자치시,조치원읍,127.289539,36.60165994
황금부동산,,부동산,부동산중개,부동산중개,세종특별자치시,연기면,127.2777929,36.54513757
가나공인중개사,,부동산,부동산중개,부동산중개,세종특별자치시,연서면,127.292893,36.57829354
충남순대국밥,,음식,별식/퓨전요리,순대전문점,세종특별자치시,금남면,127.2806215,36.46761371
퀸호프,,음식,유흥주점,호프/맥주,세종특별자치시,조치원읍,127.2974765,36.59161347
금단양만,세종점,음식,일식/수산물,민물장어전문,세종특별자치시,연기면,127.2784186,36.55232403
고려주단,,소매,의복의류,한복/갈옷/민속옷,세종특별자치시,조치원읍,127.2985023,36.59804513
술고래,,음식,유흥주점,기타일반유흥주점,세종특별자치시,조치원읍,127.2926319,36.60446307
웅진씽크빅,,학문/교육,학원기타,학원-기타,세종특별자치시,한솔동,127.2606235,36.48084763
황가네칼국수,,음식,분식,국수/만두/칼국수,세종특별자치시,금남면,127.2821465,36.46680278
드림건재철물,,소매,철물/난방/건설자재소매,철물/건설자재소매,세종특별자치시,전의면,127.20385,36.68251426
세종오피스,,소매,사무/문구/컴퓨터,사무/문구용품,세종특별자치시,조치원읍,127.2992458,36.59740063
금성농기계,,소매,기타판매업,농기구판매,세종특별자치시,조치원읍,127.2985966,36.59750496
파크랜드조치원점,조치원점,소매,의복의류,남성의류전문점,세종특별자치시,조치원읍,127.2999256,36.60133389
쇼군참치&초밥전문점,,음식,일식/수산물,참치전문점,세종특별자치시,한솔동,127.259329,36.48084862
호려울순대,,음식,별식/퓨전요리,순대전문점,세종특별자치시,보람동,127.288245,36.47708624
비어팩토리,,음식,유흥주점,호프/맥주,세종특별자치시,한솔동,127.2537315,36.48034511
모양세미용실,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,조치원읍,127.3008522,36.60022183
부어치킨,,음식,닭/오리요리,후라이드/양념치킨,세종특별자치시,조치원읍,127.2958048,36.59724517
세종회수산센터,,음식,일식/수산물,횟집,세종특별자치시,조치원읍,127.2980396,36.59484312
금자매어탕국수,,음식,유흥주점,호프/맥주,세종특별자치시,전의면,127.2073925,36.67967211
노포닭발,,음식,닭/오리요리,닭내장/닭발요리,세종특별자치시,조치원읍,127.3009509,36.60538632
E안경,,소매,사진/광학/정밀기기소매,안경원,세종특별자치시,조치원읍,127.3034626,36.60326517
전의맛집,,음식,분식,라면김밥분식,세종특별자치시,전의면,127.204841,36.6797272
소고기국밥,,음식,한식,한식/백반/한정식,세종특별자치시,조치원읍,127.2966011,36.60063841
수라식당,,음식,한식,한식/백반/한정식,세종특별자치시,조치원읍,127.2914943,36.59562449
하얀무치킨호프,,음식,닭/오리요리,후라이드/양념치킨,세종특별자치시,조치원읍,127.3012792,36.59872833
실광식당,,음식,한식,한식/백반/한정식,세종특별자치시,연기면,127.2770621,36.55405515
삼성영어,,학문/교육,학원-어학,학원-어린이영어,세종특별자치시,고운동,127.2383295,36.50444554
세종박사1공인중개사사무소,,부동산,부동산중개,부동산중개,세종특별자치시,도담동,127.2584589,36.5159277
토종순대국해장국,,음식,한식,해장국/감자탕,세종특별자치시,조치원읍,127.2939026,36.60607475
황금부동산,,부동산,부동산중개,부동산중개,세종특별자치시,조치원읍,127.2909789,36.60309242
영상식당,,음식,한식,한식/백반/한정식,세종특별자치시,장군면,127.2120607,36.45723128
대웅장여관,,숙박,모텔/여관/여인숙,모텔/여관/여인숙,세종특별자치시,장군면,127.2049935,36.49706338
일구건축인력,,생활서비스,인력/고용/용역알선,인력공급/고용알선,세종특별자치시,조치원읍,127.2953423,36.59772008
해동모텔,,숙박,모텔/여관/여인숙,모텔/여관/여인숙,세종특별자치시,조치원읍,127.297746,36.60010444
아이비클럽,,소매,의복의류,교복판매,세종특별자치시,조치원읍,127.2976767,36.60281666
중국식품,,음식,중식,중국음식/중국집,세종특별자치시,조치원읍,127.2967017,36.600639
피자헛,,음식,패스트푸드,피자전문,세종특별자치시,조치원읍,127.2989474,36.58962145
아루마루,,소매,의복의류,남성의류전문점,세종특별자치시,조치원읍,127.2989794,36.5972008
세종스파렉스사우나이용실,,생활서비스,이/미용/건강,남성미용실,세종특별자치시,종촌동,127.2481243,36.50281338
대산핸드백,,소매,가방/신발/액세서리,가방/가죽제품소매,세종특별자치시,조치원읍,127.3015583,36.60124433
오복,,음식,한식,한식/백반/한정식,세종특별자치시,조치원읍,127.2978081,36.59202097
준꼬양꼬치,,음식,유흥주점,꼬치구이전문점,세종특별자치시,조치원읍,127.2902089,36.60296167
현진화물자동차매매상사,,소매,자동차/자동차용품,중고자동차판매,세종특별자치시,소정면,127.1641473,36.72842782
피자미뇽,,음식,패스트푸드,피자전문,세종특별자치시,고운동,127.2345465,36.50544871
뉴까꼬뽀꼬미용실,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,조치원읍,127.2949159,36.59544651
하병공,,소매,음/식료품소매,청과물소매,세종특별자치시,연서면,127.2296678,36.55727311
베베비엔비피자치킨,,음식,패스트푸드,피자전문,세종특별자치시,조치원읍,127.2915286,36.60898958
모즈헤어,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,조치원읍,127.2977252,36.58636991
기단직업소개소,,생활서비스,인력/고용/용역알선,인력공급/고용알선,세종특별자치시,조치원읍,127.3027986,36.59755665
윤선혜헤어,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,대평동,127.2768112,36.47300705
올가뷰티,,생활서비스,이/미용/건강,비만/피부관리,세종특별자치시,새롬동,127.2459205,36.48602777
달구지막창세종1호점,세종1호점,음식,한식,곱창/양구이전문,세종특별자치시,나성동,127.2570397,36.49035129
수정마트,,소매,종합소매점,수퍼마켓,세종특별자치시,조치원읍,127.2863827,36.62396392
세종열매공인중개사사무소,,부동산,부동산중개,부동산중개,세종특별자치시,새롬동,127.2510968,36.48856577
궁궐,,음식,한식,기타고기요리,세종특별자치시,보람동,127.2932552,36.48327138
밀마을,,음식,분식,라면김밥분식,세종특별자치시,조치원읍,127.2970495,36.6017225
개별용달,,생활서비스,운송/배달/택배,종합이삿짐대행,세종특별자치시,전의면,127.2064566,36.67384419
코스모스의상실,,소매,의복의류,맞춤양장/양장점,세종특별자치시,조치원읍,127.2985307,36.59984771
지엠대우오토앤테크놀로지,,소매,자동차/자동차용품,자동차부품판매,세종특별자치시,연기면,127.2672869,36.54470399
제이어스헤어,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,고운동,127.2349009,36.50573036
타마노헤어,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,종촌동,127.2488976,36.50480093
고려대운동가방부,,소매,운동/경기용품소매,운동/경기용품,세종특별자치시,조치원읍,127.2910008,36.61169005
키즈스피치센터한울,,학문/교육,학원-예능취미체육,학원-웅변,세종특별자치시,조치원읍,127.2933416,36.59527497
태고비철,,소매,중고품소매/교환,재활용/고물수집,세종특별자치시,조치원읍,127.3030421,36.59657576
서독안경원,,소매,사진/광학/정밀기기소매,안경원,세종특별자치시,조치원읍,127.2993644,36.60159194
등과원고시촌,,학문/교육,도서관/독서실,고시원,세종특별자치시,전동면,127.2348347,36.65060788
하나로마트,서면농협봉암지소,소매,종합소매점,수퍼마켓,세종특별자치시,연서면,127.2837072,36.56265677
엔젤공인중개사,,부동산,부동산중개,부동산중개,세종특별자치시,연서면,127.2919539,36.57712541
베스트부동산,,부동산,부동산중개,부동산중개,세종특별자치시,연기면,127.2775932,36.54499217
기아자동차조치원지점,조치원지점,소매,자동차/자동차용품,자동차판매,세종특별자치시,조치원읍,127.2977019,36.58770356
삼성모터스,,소매,자동차/자동차용품,중고자동차판매,세종특별자치시,조치원읍,127.2885654,36.62734747
갈운리2구구판장,,소매,종합소매점,수퍼마켓,세종특별자치시,연기면,127.262459,36.52737091
평동쌀상회,,소매,음/식료품소매,미곡상,세종특별자치시,조치원읍,127.302695,36.60037682
대한전자,,소매,가전제품소매,일반가전제품,세종특별자치시,금남면,127.2812831,36.46484192
호박넝쿨,,음식,한식,한식/백반/한정식,세종특별자치시,조치원읍,127.2975718,36.60205903
충남부동산공인중개사무소,,부동산,부동산중개,부동산중개,세종특별자치시,연서면,127.2824462,36.562505
더나인,,소매,화장품소매,화장품판매점,세종특별자치시,나성동,127.2576856,36.49050851
365행복케어,,소매,의약/의료품소매,의료용품소매,세종특별자치시,조치원읍,127.295967,36.59662429
배달뚝배기,,음식,한식,한식/백반/한정식,세종특별자치시,조치원읍,127.3011024,36.59973665
비비붐네일,,생활서비스,이/미용/건강,발/네일케어,세종특별자치시,조치원읍,127.2914009,36.6021757
이화부동산,,부동산,부동산중개,부동산중개,세종특별자치시,조치원읍,127.296767,36.59097845
소랑,,음식,한식,한식/백반/한정식,세종특별자치시,금남면,127.2900575,36.47290634
봉삼이네,,음식,한식,한식/백반/한정식,세종특별자치시,어진동,127.2624501,36.5083011
태광철강,,소매,가정/주방/인테리어,유리/페인트/철물건축자재,세종특별자치시,소정면,127.1689207,36.72700134
길사랑공인중개사사무소,,부동산,부동산중개,부동산중개,세종특별자치시,도담동,127.2617592,36.51757937
전의제일고물상,,소매,중고품소매/교환,재활용/고물수집,세종특별자치시,전의면,127.184488,36.68195968
행정스틸,,소매,중고품소매/교환,재활용/고물수집,세종특별자치시,전의면,127.2090644,36.7097919
에치엔지화장품,,소매,화장품소매,화장품판매점,세종특별자치시,전의면,127.1970355,36.67287985
가인공인중개사,,부동산,부동산중개,부동산중개,세종특별자치시,전의면,127.1967983,36.68062848
청솔종합씽크,,소매,가정/주방/인테리어,주방가구판매,세종특별자치시,전의면,127.2018452,36.67946383
귀뚜라미보일러,,소매,철물/난방/건설자재소매,보일러/냉난방용품,세종특별자치시,전의면,127.2042975,36.68252626
월드부동산,,부동산,부동산중개,부동산중개,세종특별자치시,한솔동,127.2571609,36.48234018
SK충전소세종,세종,생활서비스,주유소/충전소,차량가스충전소,세종특별자치시,연기면,127.247574,36.52967517
쉐반스천연염색방,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,보람동,127.2896248,36.48119503
선일상사,,소매,자동차/자동차용품,자동차부품판매,세종특별자치시,조치원읍,127.2983241,36.59798099
제일입시학원,,학문/교육,학원-보습교습입시,학원-입시,세종특별자치시,전동면,127.2694685,36.6237713
전의영농꽃직매장,,소매,선물/팬시/기념품,꽃집/꽃배달,세종특별자치시,전의면,127.2045749,36.67949111
봉암상포사,,생활서비스,장례/묘지,장의사/관련서비스-종합,세종특별자치시,연서면,127.2840427,36.56383036
청사추어탕,,음식,한식,추어탕전문,세종특별자치시,어진동,127.262186,36.49496142
자연농원,,소매,기타판매업,통신판매,세종특별자치시,전의면,127.1808841,36.6831155
대신부동산,,부동산,부동산중개,부동산중개,세종특별자치시,조치원읍,127.297708,36.59073165
전의애견센터,,소매,애견/애완/동물,애견/애완/동물사육판매,세종특별자치시,전의면,127.2008743,36.68354872
산들화원,,소매,선물/팬시/기념품,꽃집/꽃배달,세종특별자치시,소정면,127.1568916,36.72032911
신흥전업사,,소매,가정/주방/인테리어,조명기구/전기용품,세종특별자치시,조치원읍,127.2985454,36.59946028
대우자동차조치원바로코너,,생활서비스,자동차/이륜차,자동차정비/카센타,세종특별자치시,조치원읍,127.2983536,36.59102384
신진공업사,,생활서비스,자동차/이륜차,자동차정비/카센타,세종특별자치시,조치원읍,127.2953738,36.58565309
공단복지회관매점,,소매,종합소매점,잡화점,세종특별자치시,연서면,127.2717612,36.55231961
이벤트세종BF,,생활서비스,행사/이벤트,이벤트기획,세종특별자치시,전동면,127.2435042,36.62870106
세이브,,음식,음식배달서비스,국/찌개배달,세종특별자치시,전의면,127.2073925,36.67967211
계룡공업사,,생활서비스,자동차/이륜차,자동차정비/카센타,세종특별자치시,전동면,127.2591387,36.65404187
상동고물상,,소매,중고품소매/교환,재활용/고물수집,세종특별자치시,전동면,127.2526536,36.65846228
연기공인중개사사무소,,부동산,부동산중개,부동산중개,세종특별자치시,연서면,127.283046,36.56288711
낚시백화점,,소매,운동/경기용품소매,낚시용품판매,세종특별자치시,조치원읍,127.2978378,36.59490501
순살치킨,,음식,닭/오리요리,후라이드/양념치킨,세종특별자치시,조치원읍,127.2948458,36.5970142
빛나유통,,소매,애견/애완/동물,애견/애완/동물사육판매,세종특별자치시,조치원읍,127.2983628,36.59617881
윤전선,,소매,가정/주방/인테리어,조명기구/전기용품,세종특별자치시,연기면,127.2784284,36.55487452
광목이야기,,소매,가정/주방/인테리어,침구/수예품,세종특별자치시,나성동,127.2558403,36.49206514
시스템,엑스코,생활서비스,기타서비스업,사업경영상담,세종특별자치시,어진동,127.2649144,36.49561813
충만치킨,세종다정점,음식,한식,한식/백반/한정식,세종특별자치시,다정동,127.2489727,36.49471676
대원갈비,,음식,한식,갈비/삼겹살,세종특별자치시,조치원읍,127.2939532,36.60542618
세븐일레븐세종연기당산점,세종연기당산점,소매,종합소매점,편의점,세종특별자치시,연기면,127.2786176,36.54653945
이서방양념치킨,,음식,닭/오리요리,후라이드/양념치킨,세종특별자치시,연기면,127.2765814,36.54449938
낭만포차,,음식,유흥주점,소주방/포장마차,세종특별자치시,나성동,127.2588936,36.49023664
대한목재,,소매,가정/주방/인테리어,유리/페인트/철물건축자재,세종특별자치시,조치원읍,127.2993794,36.59622985
큰집감자탕,,음식,한식,해장국/감자탕,세종특별자치시,금남면,127.2803675,36.46250223
